"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure in domestic market","P.31","2014","1000","lev","2008","Western calendar year","55957100000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Plus: Direct purchases abroad by residents","","2014","1000","lev","2008","Western calendar year","1766869000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Health","13.2","2014","1000","lev","2008","Western calendar year","32475000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Less: Direct purchases in domestic market by non-residents","","2014","1000","lev","2008","Western calendar year","5828776000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Recreation and culture","13.3","2014","1000","lev","2008","Western calendar year","65825000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure","P.31","2014","1000","lev","2008","Western calendar year","51963500000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Education","13.4","2014","1000","lev","2008","Western calendar year","68137000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Social protection","13.5","2014","1000","lev","2008","Western calendar year","6404000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Other services","13.6","2014","1000","lev","2008","Western calendar year","255578000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Equals: NPISHs final consumption expenditure","P.31/13","2014","1000","lev","2008","Western calendar year","427900000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Housing","14.1","2014","1000","lev","2008","Western calendar year","52054000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Health","14.2","2014","1000","lev","2008","Western calendar year","3378800000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Recreation and culture","14.3","2014","1000","lev","2008","Western calendar year","256200000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Education","14.4","2014","1000","lev","2008","Western calendar year","2636200000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Social protection","14.5","2014","1000","lev","2008","Western calendar year","567500000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2014","1000","lev","2008","Western calendar year","7211000000","2"
